Question,Original Level,Difficulty,Solution,Selected
"Assuming that the birth of a boy or a girl is equally likely, what is the probability that the three children in a family include at least one boy and one girl? Express your answer as a common fraction.",Level 3,Medium,"There are only two ways for a family of three to not have at least one boy and at least one girl: either the family is all boys, or it is all girls. The probability that a family is all boys is $\left( \frac{1}{2} \right) ^3=\frac{1}{8}$, and the probability that a family is all girls is also $\frac{1}{8}$. Therefore, the probability that a family of three is neither all girls nor all boys is $1-\frac{1}{8}-\frac{1}{8}=\boxed{\frac{3}{4}}$.",
"Gretchen has eight socks, two of each color: magenta, cyan, black, and white. She randomly draws four socks. What is the probability that she has exactly one pair of socks with the same color?",Level 5,Hard,"There are a total of $\binom{8}{4} = 70$ combinations of socks. We seek combinations that have one pair of socks with the same color and two separate socks with different colors for a total of three colors. There are $\binom{4}{3}$ ways to choose three colors. From each combination of three colors, there are $\binom{3}{1}$ ways to choose a color for the only pair of socks.  There are 2 socks to choose from for each of the colors that only appear once among the four socks she chooses.  Therefore, there are $\binom{4}{3}\binom{3}{1}\cdot 2 \cdot 2 = 48$ ways to choose an appropriate combination of socks. The probability of choosing such a combination is $\frac{48}{70} = \boxed{\frac{24}{35}}$.",
"If I roll 5 standard 6-sided dice and multiply the number on the face of each die, what is the probability that the result is a composite number?",Level 5,Hard,"While it is almost tempting to make this into the casework problem to end all casework problems, using complementary probability makes the problem a lot simpler, so we will find the probability that the product is not composite.

It's clear that if more than one die shows a roll greater than 1, the resulting product will have more than one factor that is greater than 1 and therefore be composite. Additionally, if any of the dice show a 4 or a 6, the product will obviously be composite. So in order for the product to not be composite, we need at least four dice to be a 1 and the fifth die to either be another 1 or a 2, a 3, or a 5.

There's exactly one way in which all the the dice can be 1's, and for each of the other three cases there are 5 ways since the die that isn't a 1 can appear in any of the 5 other positions, so there are a total of $3\cdot5+1=16$ ways of rolling the dice that result in a product that isn't composite. Additionally, there are 6 options for the roll of each of the 5 dice for a total of $6^5=7776$ possible outcomes, which means that the probability of the product not being composite is $\dfrac{16}{7776}$ and the probability that it is composite is $1-\frac{16}{7776}=\frac{7760}{7776}=\boxed{\frac{485}{486}}$.

Note: Many students have tried to argue that 1 is not a prime number and should not be counted. As we are doing complementary probability, it is important to consider all numbers that are not composite, and 1 is definitely not composite.",
2 diagonals of a regular nonagon (a 9-sided polygon) are chosen.  What is the probability that their intersection lies inside the nonagon?,Level 5,Hard,"There are $\binom{9}{2} = 36$ pairs of points in the nonagon, and all but 9 (the sides of the nonagon) are diagonals, which means there are 27 diagonals.  So there are $\binom{27}{2} = 351$ pairs of diagonals.  Any four points on the nonagon uniquely determine a pair of intersecting diagonals. (If vertices $A,B,C,D$ are chosen, where $ABCD$ is a convex quadrilateral, the intersecting pair of diagonals are $AC$ and $BD$.)  So the number of sets of intersecting diagonals is the number of combinations of 4 points, which is $\binom{9}{4} = 126$.  So the probability that a randomly chosen pair of diagonals intersect is $\dfrac{126}{351} = \boxed{\dfrac{14}{39}}$.",
"A point is chosen at random on the number line between 0 and 1, and the point is colored green. Then, another point is chosen at random on the number line between 0 and 1, and this point is colored purple. What is the probability that the number of the purple point is greater than the number of the green point, but less than twice the number of the green point?",Level 4,Hard,"We let the $x$-axis represent the number of the green point and the $y$-axis represent the number of the purple point, and we shade in the region where the number of the purple point is between the number of the green point and twice the number of the green point.

[asy]
draw((0,0)--(1,0), Arrow);
draw((0,0)--(0,1), Arrow);
label(""(0,0)"", (0,0), SW);
label(""(0,1)"", (0,1), W);
label(""(1,0)"", (1,0), S);

fill((0,0)--(1,1)--(.5,1)--cycle, gray(.7));
draw((.5,1)--(.5,.5));
[/asy]

The shaded region can be divided into two triangles, each with base $\frac{1}{2}$ and height $\frac{1}{2}$. The total area of the shaded region is then $\frac{1}{4}$. Since the area of the whole square is 1, the probability that a randomly chosen point lies in the shaded region is $\boxed{\frac{1}{4}}$.",
What is the probability that the same number will be facing up on each of three standard six-sided dice that are tossed simultaneously? Express your answer as a common fraction.,Level 2,Easy,"The results on the three dice are independent of each other, so we compute the probability for each die and then multiply the probabilities. The first die does not have to be a particular number. There are 6 possible numbers, but any number will work, so the probability is $\frac{6}{6}=1$. The second die must be the same number as the first die, which is one number out of the 6 possible outcomes, so the probability is $\frac{1}{6}$. The third die must also be the same number as the first die, so the probability is also $\frac{1}{6}$. The probability that all three dice will have the same number is then $1\times\frac{1}{6}\times\frac{1}{6}=\boxed{\frac{1}{36}}$.",
"A boss plans a business meeting at Starbucks with the two engineers below him. However, he fails to set a time, and all three arrive at Starbucks at a random time between 2:00 and 4:00 p.m. When the boss shows up, if both engineers are not already there, he storms out and cancels the meeting. Each engineer is willing to stay at Starbucks alone for an hour, but if the other engineer has not arrived by that time, he will leave. What is the probability that the meeting takes place?",Level 5,Hard,"Let the number of hours after 2:00 p.m. that the two engineers arrive at Starbucks be $x$ and $y$, and let the number of hours after 2:00 p.m. that the boss arrives at Starbucks be $z$. Then $0\le x,y,z\le2$ and in three dimensions, we are choosing a random point within this cube with volume 8. We must have $z>x$ and $z>y$; this forms a square pyramid with base area 4 and height 2, or volume $8/3$.
[asy]
unitsize(1 cm);

pair O, A, B, C, D, E, F, G, X, Y, Z;
real d1, d2; d1=20;

real dis=1.2;
O = (0,0);
A = (2,0);
B = (2,2);
C = (0,2);
D = A+dis*dir(d1);
G = O+dis*dir(d1);
E = B+dis*dir(d1);
F = C+dis*dir(d1);
G = O+dis*dir(d1);
X = (3,0);
Z = (0,3);
Y = O+2*dis*dir(d1);

fill(C--B--E--F--cycle,gray(0.8));
fill(O--E--F--C--cycle,gray(0.8));
draw(O--A--B--C--cycle);
draw(G--D, dashed);
draw(E--F);
draw(F--G, dashed);
draw(C--F);
draw(B--E);
draw(A--D);
draw(D--E);
draw(O--G, dashed);
draw(O--X, Arrow);
draw(O--Z, Arrow);
draw(O--E, red+dashed);
draw(C--B--E--F--cycle, red);
draw(O--B, red);
draw(O--F, red+dashed);
draw(O--Y, dashed, Arrow);

label(""$2$"", A, S);
label(""$2$"", C, W);
label(""$2$"", G, NW);
label(""$O$"", O, SW);
label(""$X$"", X, S);
label(""$Z$"", Z, W);
label(""$Y$"", Y, NW);
[/asy]
However, if one of the engineers decides to leave early, the meeting will fail. The engineers will leave early if $x>y+1$ or $y>x+1$. The intersections of these with our pyramid gives two smaller triangular pyramids each with base area 1/2 and height 1, or volume $1/6$.
[asy]
size(200);
pair O, A, B, C, D, E, F, G, X, Y, Z;
real d1, d2; d1=20; d2=150;
real dis1, dis2;
dis1=2; dis2=1.8;
O = (0,0);
A = O+dis1*dir(d1);
C = O+dis2*dir(d2);
B = A+dis2*dir(d2);
G = (0,2);
D = G+dis1*dir(d1);
F = G+dis2*dir(d2);
E = D+dis2*dir(d2);
X = A+.5*dis1*dir(d1);
Y = C+.5*dis2*dir(d2);
Z = (0,4);

fill(G--D--E--F--cycle, gray(0.8));
fill(O--F--G--cycle, gray(0.8));
fill(O--D--G--cycle, gray(0.8));
draw(G--D--E--F--cycle);
draw(G--O);
draw(F--C--O--A--D);
draw(A--B--C, dashed);
draw(B--E, dashed);
draw(O--D, dashed);
draw(O--F, dashed);
draw(O--X, Arrow);
draw(O--Y, Arrow);
draw(O--Z, Arrow);

label(""$2$"", A, SE);
label(""$2$"", C, W);
label(""$2$"", G, SW);
label(""$O$"", O, S);
label(""$X$"", X, SE);
label(""$Z$"", Z, W);
label(""$Y$"", Y, W);
label(""$y=x-1$"", (O+A)/2, SE, red+fontsize(10));
label(""$y=x+1$"", (O+C)/2, SW, red+fontsize(10));

draw((G+D)/2--(E+D)/2, red);
draw((G+F)/2--(E+F)/2, red);
draw((O+C)/2--(C+B)/2, red+dashed);
draw((O+A)/2--(A+B)/2, red+dashed);
draw((O+C)/2--(G+F)/2, red);
draw((C+B)/2--(E+F)/2, red+dashed);
draw((O+A)/2--(G+D)/2, red);
draw((A+B)/2--(E+D)/2, red+dashed);
[/asy]
In all, the probability of the meeting occurring is the volume of the big square pyramid minus the volumes of the smaller triangular pyramids divided by the volume of the cube: $\frac{8/3-1/6-1/6}8=\frac{7/3}8=\boxed{\frac{7}{24}}$.",
"If the probability that a baby born in a certain hospital will speak in the next day is 1/4, what is the probability that at least 2 babies out of a cluster of 5 babies will speak tomorrow?",Level 5,Hard,"We will use complementary probability: we will find the probability that no more than 1 baby speaks tomorrow, and then subtract the result from 1. There are two cases to consider: None of the babies will speak and that exactly 1 will speak.

1) The probability that none of the babies will speak tomorrow is $\left(\frac{3}{4}\right)^{5} = 243/1024$.

2) The probability that exactly 1 will speak is $\binom{5}{1}\left(\frac{3}{4}\right)^{4}\left(\frac{1}{4}\right) = \frac{405}{1024}$.

The sum of these probabilities is $\frac{243 + 405}{1024} = \frac{648}{1024} = \frac{81}{128}$.  Since the probability that no more than 1 baby will speak is $\frac{81}{128}$, the probability that more than 1 baby will speak is $1 - \frac{81}{128} = \boxed{\frac{47}{128}}$.",
"Ben rolls four fair 10-sided dice, each numbered with numbers from 1 to 10. What is the probability that exactly two of the dice show a prime number?",Level 4,Hard,"The probability that a 10-sided die rolls a prime number is $\frac{4}{10}=\frac{2}{5}$ since the primes it can roll are 2, 3, 5, and 7. We can choose which dice show a prime number in $\binom{4}{2}=6$ ways. Then, there is a $\frac{2}{5}\cdot \frac{2}{5} \cdot \frac{3}{5} \cdot \frac{3}{5}=\frac{36}{625}$ chance that the chosen dice will actually roll a prime number and the other dice won't. Therefore, the total probability that exactly two dice show a prime number is $6 \cdot \frac{36}{625}=\boxed{\frac{216}{625}}$.",
"When two fair 6-sided dice are tossed, the numbers $a$ and $b$ are obtained. What is the probability that the two digit number $ab$ (where $a$ and $b$ are digits) and $a$ and $b$ are all divisible by 3?",Level 3,Medium,"$ab$ (where $a$ and $b$ are digits) is divisible by 3 only when $a+b$ is divisible by 3. Since 3 divides both $a$ and $a+b$, 3 must divide $b$. Therefore, $a$ and $b$ can equal 3 or 6. The probability that $a$ equals 3 or 6 is $\frac26 = \frac13$. The probability that $b$ equals 3 or 6 is $\frac26 = \frac13$. Therefore, The probability that both $a$ and $b$ equal 3 or 6 is $\left(\frac13\right)^2 = \boxed{\frac19}$.",
